analysis,model,scope,point,lo,hi,note
droop_L9-L7_p0a,ace,verbal,-0.5533,-0.8233,-0.25,
droop_L9-L7_clap,ace,verbal,-0.0806,-0.132,-0.0269,
droop_L9-L7_p0a,mgm,verbal,0.4333,0.1499,0.7467,
droop_L9-L7_clap,mgm,verbal,0.093,0.015,0.1627,
droop_L9-L7_p0a,mgs,verbal,-0.42,-0.8567,0.0268,
droop_L9-L7_clap,mgs,verbal,-0.0458,-0.1202,0.0302,
droop_L9-L7_p0a,sa3s,verbal,-0.3033,-0.6901,0.0567,
droop_L9-L7_clap,sa3s,verbal,-0.0013,-0.0861,0.0852,
droop_L9-L7_p0a,sao,verbal,0.2333,0.03,0.44,
droop_L9-L7_clap,sao,verbal,0.067,-0.0004,0.1358,
rho_level_p0a,ace,numeric,0.0705,-0.089,0.2283,
delta_L9-L1_mean,ace,numeric,0.09,-0.2133,0.3834,
delta_L9-L1_median,ace,numeric,0.1,-0.3,0.4,
rho_level_p0a,ace,verbal,0.3281,0.1672,0.4758,
delta_L9-L1_mean,ace,verbal,0.1833,-0.1201,0.47,
delta_L9-L1_median,ace,verbal,0.1,-0.05,0.7,
rho_level_p0a,mgm,numeric,0.0383,-0.134,0.2021,
delta_L9-L1_mean,mgm,numeric,0.0033,-0.4133,0.4367,
delta_L9-L1_median,mgm,numeric,0.1,-1.0,0.9,
rho_level_p0a,mgm,verbal,0.5383,0.4139,0.6438,
delta_L9-L1_mean,mgm,verbal,1.2767,0.91,1.6267,
delta_L9-L1_median,mgm,verbal,1.3,0.5,2.1,
rho_level_p0a,mgs,numeric,0.0408,-0.1268,0.1966,
delta_L9-L1_mean,mgs,numeric,0.0767,-0.3633,0.5167,
delta_L9-L1_median,mgs,numeric,0.3,-0.5,1.2,
rho_level_p0a,mgs,verbal,0.3876,0.2468,0.5123,
delta_L9-L1_mean,mgs,verbal,0.9333,0.3967,1.45,
delta_L9-L1_median,mgs,verbal,2.05,0.8,2.4,
rho_level_p0a,sa3s,numeric,0.0347,-0.1392,0.1981,
delta_L9-L1_mean,sa3s,numeric,0.2367,-0.2435,0.6834,
delta_L9-L1_median,sa3s,numeric,0.3,-0.2,0.9,
rho_level_p0a,sa3s,verbal,0.3844,0.2226,0.5253,
delta_L9-L1_mean,sa3s,verbal,0.83,0.3067,1.3267,
delta_L9-L1_median,sa3s,verbal,1.6,0.55,2.2,
rho_level_p0a,sao,numeric,0.0071,-0.1653,0.1641,
delta_L9-L1_mean,sao,numeric,0.0,-0.3567,0.3533,
delta_L9-L1_median,sao,numeric,0.1,-0.35,0.3,
rho_level_p0a,sao,verbal,0.5042,0.3672,0.6186,
delta_L9-L1_mean,sao,verbal,1.1333,0.78,1.4967,
delta_L9-L1_median,sao,verbal,1.3,0.55,2.0,
K4_content_share,ace,verbal,2.1636,-8.075,9.4673,UNSTABLE: raw-delta CI covers 0; ratio meaningless
K4_content_share,mgm,verbal,0.7624,0.627,0.9124,
K4_content_share,mgs,verbal,0.7571,0.4712,0.9878,
K4_content_share,sa3s,verbal,0.8153,0.6392,1.1473,
K4_content_share,sao,verbal,0.5912,0.5028,0.686,
phrasing_drho,ace,verbal-numeric,0.2577,0.0632,0.4508,
phrasing_ddelta,ace,verbal-numeric,0.0933,-0.3067,0.4967,
phrasing_drho,mgm,verbal-numeric,0.5,0.333,0.6685,
phrasing_ddelta,mgm,verbal-numeric,1.2733,0.7166,1.8235,
phrasing_drho,mgs,verbal-numeric,0.3468,0.1993,0.4965,
phrasing_ddelta,mgs,verbal-numeric,0.8567,0.1865,1.5267,
phrasing_drho,sa3s,verbal-numeric,0.3496,0.2221,0.4822,
phrasing_ddelta,sa3s,verbal-numeric,0.5933,-0.0768,1.2567,
phrasing_drho,sao,verbal-numeric,0.4972,0.3702,0.6268,
phrasing_ddelta,sao,verbal-numeric,1.1333,0.6465,1.6233,
droop_L9-L7_rawridge,ace,verbal,-0.3692,-0.5586,-0.1803,
droop_L9-L7_rawridge,mgm,verbal,0.967,0.5682,1.382,
droop_L9-L7_rawridge,mgs,verbal,-0.7311,-1.3699,-0.1468,
droop_L9-L7_rawridge,sa3s,verbal,-0.1441,-0.5267,0.2355,
droop_L9-L7_rawridge,sao,verbal,0.6682,0.318,1.022,
edge_gain_in_minus_out,ace,verbal,0.2969,0.1847,0.4122,
edge_gain_in_minus_out,mgm,verbal,0.2063,0.0517,0.3438,
edge_gain_in_minus_out,mgs,verbal,0.1319,-0.0306,0.3014,
edge_gain_in_minus_out,sa3s,verbal,0.2906,0.1788,0.4004,
edge_gain_in_minus_out,sao,verbal,0.026,-0.0743,0.1285,
edge_gain_in_minus_out,ALL,verbal,0.1903,0.0956,0.2794,
