model,1,3,5,7,9
ace,4.456702572064413,4.438118609743699,4.68587523578804,5.033708098664018,4.664474133397846
mgm,5.185511805858677,5.39518108005734,5.989370400504882,6.075210391481337,7.042233685603586
mgs,4.821387442489784,5.15291893963215,5.713571085544635,6.517122044683502,5.786024838707411
sa3s,5.121271930278271,5.009484907979711,5.824698226735659,5.993764827444836,5.849650934757278
sao,5.210845239345564,5.537177264167964,5.728631323370675,5.9314197961879715,6.599636103744769
